Title,Algorithm Agent 1,Algorithm Agent 2,Heuristic Agent 1,Heuristic Agent 2,Max Depth Agent 1,Number CutOff H0 Agent 1,Max Depth Agent 2,Number CutOff H0 Agent 2,OUTCOME,Winner,Total Time,AVG Time Agent 1,AVG Time Agent 2,Number of Moves Agent 1,Number of Moves Agent 2,States Evaluated Agent 1,States Evaluated Agent 2,Pruning carried out Agent 1,Pruning carried out Agent 2,States evaluated H0 Agent 1,States evaluated H0 Agent 2,Pruning H0 carried out Agent 1,Pruning H0 carried out Agent 2
min_max_alpha_beta_pruning_h0_cut max_depth=3 k=5 vs min_max_alpha_beta_pruning_h0_cut max_depth=3 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,3,5,CHECKMATE,Black,21242.10ms,252.97ms,432.12ms,31,31,2350,2365,511,536,18649,31818,14383,27424
min_max_alpha_beta_pruning_h0_cut max_depth=3 k=5 vs min_max_alpha_beta_pruning_h0_cut max_depth=4 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,4,5,SEVENTYFIVE_MOVES,,479910.02ms,317.58ms,1281.98ms,300,300,21310,83983,2661,10550,81330,317249,49886,198485
min_max_alpha_beta_pruning_h0_cut max_depth=4 k=5 vs min_max_alpha_beta_pruning_h0_cut max_depth=3 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,3,5,CHECKMATE,Black,132536.65ms,1813.11ms,641.14ms,54,54,15458,4855,2221,773,158865,55588,135343,47763
min_max_alpha_beta_pruning_h0_cut max_depth=4 k=5 vs min_max_alpha_beta_pruning_h0_cut max_depth=4 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,4,5,FIVEFOLD_REPETITION,,228288.65ms,934.12ms,1433.94ms,97,96,23539,34783,3852,4233,141488,204792,103353,155726
min_max_alpha_beta_pruning_h0_cut max_depth=3 k=3 vs min_max_alpha_beta_pruning_h0_cut max_depth=3 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,3,3,5,CHECKMATE,Black,15483.22ms,101.52ms,397.80ms,31,31,840,2325,142,500,7692,29660,6610,25460
min_max_alpha_beta_pruning_h0_cut max_depth=3 k=3 vs min_max_alpha_beta_pruning_h0_cut max_depth=4 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,3,4,5,CHECKMATE,Black,85548.29ms,98.56ms,831.22ms,92,92,2628,27003,358,3925,18513,148940,15197,108717
min_max_alpha_beta_pruning_h0_cut max_depth=4 k=3 vs min_max_alpha_beta_pruning_h0_cut max_depth=3 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,3,3,5,CHECKMATE,Black,38063.41ms,450.65ms,525.26ms,39,39,2422,3066,420,630,34699,40879,31516,35427
min_max_alpha_beta_pruning_h0_cut max_depth=4 k=3 vs min_max_alpha_beta_pruning_h0_cut max_depth=4 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,3,4,5,FIVEFOLD_REPETITION,,99226.66ms,388.48ms,929.02ms,76,75,4850,23927,719,2916,52469,120305,46313,86610
min_max_alpha_beta_pruning_h0_cut max_depth=5 k=5 vs min_max_alpha_beta_pruning_h0_cut max_depth=5 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,5,5,5,5,CHECKMATE,Black,280443.45ms,2791.97ms,4587.96ms,38,38,22521,32235,6029,6559,201216,346991,157102,291977
min_max_alpha_beta_pruning_h0_cut max_depth=6 k=5 vs min_max_alpha_beta_pruning_h0_cut max_depth=5 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,6,5,5,5,FIVEFOLD_REPETITION,,1365808.27ms,5590.87ms,2317.25ms,173,172,267648,107031,54916,22458,2050291,858434,1589502,669144
min_max_alpha_beta_pruning_h0_cut max_depth=5 k=5 vs min_max_alpha_beta_pruning_h0_cut max_depth=6 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,5,5,6,5,CHECKMATE,Black,1039865.00ms,3219.24ms,10112.12ms,78,78,49268,158864,12909,37746,514334,1605858,419160,1316516
min_max_alpha_beta_pruning_h0_cut max_depth=6 k=5 vs min_max_alpha_beta_pruning_h0_cut max_depth=6 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,6,5,6,5,CHECKMATE,Black,433161.97ms,8165.26ms,9161.07ms,25,25,52089,70779,10826,14492,542868,596696,451037,475188
min_max_alpha_beta_pruning_h0_cut max_depth=7 k=5 vs min_max_alpha_beta_pruning_h0_cut max_depth=7 k=5,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,7,5,7,5,CHECKMATE,Black,934196.32ms,11911.77ms,18223.53ms,31,31,111781,149704,33500,34936,1104577,1722537,874448,1448785
min_max_alpha_beta_pruning_h0_cut max_depth=8 k=3 vs min_max_alpha_beta_pruning_h0_cut max_depth=8 k=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,8,3,8,3,SEVENTYFIVE_MOVES,,1592359.21ms,3117.17ms,2902.54ms,265,264,215441,208335,53167,53580,1556021,1448289,1246376,1146378
min_max_alpha_beta_pruning_h0_cut max_depth=9 k=3 vs min_max_alpha_beta_pruning_h0_cut max_depth=8 k=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,9,3,8,3,CHECKMATE,Black,852883.62ms,12628.93ms,6323.92ms,45,45,103912,55263,30102,14273,1357226,696348,1200159,616025
min_max_alpha_beta_pruning_h0_cut max_depth=8 k=3 vs min_max_alpha_beta_pruning_h0_cut max_depth=9 k=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,8,3,9,3,CHECKMATE,Black,1038700.11ms,6145.47ms,13452.54ms,53,53,61805,131150,15518,35503,884997,1913666,795721,1719287
min_max_alpha_beta_pruning_h0_cut max_depth=9 k=3 vs min_max_alpha_beta_pruning_h0_cut max_depth=9 k=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,9,3,9,3,CHECKMATE,Black,673887.36ms,12466.97ms,16832.29ms,23,23,62569,75869,18021,20067,795457,1051305,701259,940418
min_max_alpha_beta_pruning_h0_cut max_depth=9 k=3 vs min_max_alpha_beta_pruning_h0_cut max_depth=10 k=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,9,3,10,3,CHECKMATE,Black,596961.34ms,9632.21ms,23532.20ms,18,18,38770,93565,11055,26701,492100,1194701,433880,1054968
min_max_alpha_beta_pruning_h0_cut max_depth=10 k=3 vs min_max_alpha_beta_pruning_h0_cut max_depth=9 k=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,10,3,9,3,CHECKMATE,Black,736373.25ms,22616.90ms,12448.50ms,21,21,109896,63783,28183,16796,1398582,797128,1239188,703726
min_max_alpha_beta_pruning_h0_cut max_depth=10 k=3 vs min_max_alpha_beta_pruning_h0_cut max_depth=10 k=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning H0 CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,10,3,10,3,SEVENTYFIVE_MOVES,,1700247.30ms,7686.70ms,6970.43ms,116,116,357533,333774,95795,92114,3301519,3076692,2772723,2580965
